   0.6604785E-01 -0.3032698E-01
   0.7201974E-01 -0.3117560E-01
   0.7855680E-01 -0.3203549E-01
   0.8570132E-01 -0.3290240E-01
   0.9348489E-01 -0.3377067E-01
   0.1019145     -0.3463221E-01
   0.1109764     -0.3547776E-01
   0.1206243     -0.3629671E-01
   0.1307935     -0.3707938E-01
   0.1414022     -0.3781741E-01
   0.1523665     -0.3850485E-01
   0.1636014     -0.3913786E-01
   0.1750407     -0.3971522E-01
   0.1866277     -0.4023702E-01
   0.1983180     -0.4070440E-01
   0.2100911     -0.4111952E-01
   0.2219101     -0.4148399E-01
   0.2337575     -0.4179997E-01
   0.2456198     -0.4206960E-01
   0.2574915     -0.4229497E-01
   0.2693573     -0.4247782E-01
   0.2812166     -0.4262001E-01
   0.2930641     -0.4272313E-01
   0.3049002     -0.4278860E-01
   0.3167246     -0.4281764E-01
   0.3285312     -0.4281123E-01
   0.3403256     -0.4277016E-01
   0.3521115     -0.4269495E-01
   0.3638841     -0.4258595E-01
   0.3756314     -0.4244340E-01
   0.3873386     -0.4226753E-01
   0.3989870     -0.4205850E-01
   0.4105520     -0.4181652E-01
   0.4220042     -0.4154191E-01
   0.4333194     -0.4123491E-01
   0.4444635     -0.4089616E-01
   0.4554019     -0.4052656E-01
   0.4660968     -0.4012741E-01
   0.4765097     -0.3970046E-01
   0.4865987     -0.3924804E-01
   0.4963169     -0.3877332E-01
   0.5056189     -0.3828013E-01
   0.5144615     -0.3777292E-01
   0.5228120     -0.3725635E-01
   0.5306516     -0.3673483E-01
   0.5379748     -0.3621235E-01
   0.5447953     -0.3569175E-01
   0.5511354     -0.3517513E-01
   0.5570293     -0.3466334E-01
   0.5625201     -0.3415597E-01
   0.5676498     -0.3365200E-01
   0.5724566     -0.3315010E-01
   0.5771977     -0.3262312E-01
   0.5820167     -0.3204995E-01
   0.5867936     -0.3143832E-01
   0.5914306     -0.3079576E-01
   0.5958634     -0.3012771E-01
   0.6000810     -0.2943282E-01
   0.6040737     -0.2870989E-01
   0.6078190     -0.2796086E-01
   0.6113372     -0.2717928E-01
   0.6146561     -0.2635376E-01
   0.6178235     -0.2546148E-01
   0.6208951     -0.2447183E-01
   0.6239080     -0.2336372E-01
   0.6267690     -0.2220947E-01
   0.6285645     -0.2160721E-01
   0.6293560     -0.2144211E-01
   0.6311493     -0.2130079E-01
   0.6328074     -0.2146604E-01
   0.6344354     -0.2191704E-01
   0.6360330     -0.2265200E-01
   0.6376360     -0.2350700E-01
   0.6393060     -0.2426800E-01
   0.6410550     -0.2492500E-01
   0.6428980     -0.2547100E-01
   0.6448390     -0.2591400E-01
   0.6468900     -0.2627300E-01
   0.6490590     -0.2656500E-01
   0.6513540     -0.2679300E-01
   0.6537740     -0.2696500E-01
   0.6563150     -0.2708000E-01
   0.6589710     -0.2714100E-01
   0.6617420     -0.2714900E-01
   0.6646390     -0.2710500E-01
   0.6676830     -0.2701000E-01
   0.6709010     -0.2686400E-01
   0.6743290     -0.2666500E-01
   0.6780140     -0.2641100E-01
   0.6820210     -0.2609600E-01
   0.6864550     -0.2570700E-01
   0.6914640     -0.2522600E-01
   0.6972710     -0.2462600E-01
   0.7041050     -0.2387300E-01
   0.7121020     -0.2294200E-01
   0.7213090     -0.2182700E-01
   0.7316810     -0.2053900E-01
   0.7429720     -0.1912200E-01
   0.7549310     -0.1763200E-01
   0.7673010     -0.1611900E-01
   0.7799130     -0.1462100E-01
   0.7926510     -0.1316600E-01
   0.8054470     -0.1177400E-01
   0.8182840     -0.1046400E-01
   0.8311030     -0.9225000E-02
   0.8439160     -0.8064000E-02
   0.8566960     -0.6989000E-02
   0.8694470     -0.6000000E-02
   0.8821790     -0.5096000E-02
   0.8948540     -0.4281000E-02
